work_order_id,site_id,site_name,site_type,region,priority,recommended_action,estimated_cost_usd,estimated_downtime_prevented_hours,numeric_risk_score,numeric_risk_level,vision_findings_level,n_defects_detected,image_file,site_coastal_exposure,site_age_years,merged_assessment,numeric_interpretation,vision_interpretation,agent_trace,generated_at
WO-SITE0011-202607301728,SITE0011,Jawa Barat - Jayapura,BTS Tower,Kalimantan Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.3932389021964954e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-51-_jpeg.rf.3e02cb2ab9ce06cd184dd6b8cb3d393b.jpg,Low,8.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:8.0(+0.3) Failures:0(+0.0) Score:0.30,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0011', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.30', '[decision] LOW']",2026-07-30T17:28:19.984214Z
WO-SITE0012-202607301728,SITE0012,Bali-Nusra - Samarinda,Microcell Pole,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.0512055335367978e-05,NORMAL,MEDIUM,7,pipe-defects-ybzjr_Frozen_Pipes249-DFs_jpg.rf.62f22cad8f4b21f7a1426693f2bca401.jpg,Low,10.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:Low(+0.0) Age:10.0(+0.5) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,7 corrosion regions.,"['[collect] SITE0012', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:19.989977Z
WO-SITE0013-202607301728,SITE0013,Sulawesi Selatan - Banjarbaru,Indoor BTS Room,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,9.253794730946024e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-38-_jpeg.rf.2cffcfd5f235e21515cc57cf68a44bd0.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0013', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:19.995901Z
WO-SITE0014-202607301728,SITE0014,Jawa Barat - Banjar,BTS Tower,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,2.169070287411605e-05,NORMAL,MEDIUM,10,corrosion_detection-unzub_Galvanic-Corrosion-Corrosion-with-an-Electric-Edge_jpg.rf.1695fb3533da6f331ab1db73c4ddc431.jpg,High,5.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:5.0(+0.0) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,10 corrosion regions.,"['[collect] SITE0014', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:20.001522Z
WO-SITE0015-202607301728,SITE0015,Sumatera Utara - Kupang,Microcell Pole,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.083267193434549e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-27-_jpeg.rf.3734556db6feaf2c6ab8a76cf748a6c7.jpg,Low,12.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:12.0(+0.7) Failures:0(+0.0) Score:0.70,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0015', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.70', '[decision] LOW']",2026-07-30T17:28:20.007873Z
WO-SITE0016-202607301728,SITE0016,Bali-Nusra - Bontang,Indoor BTS Room,Jawa Tengah,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,9.352815415549869e-06,NORMAL,CRITICAL,12,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.403b9b04082d1dd3ee477b5049e7e10d.jpg,Low,12.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:12.0(+0.7) Failures:1(+0.5) Score:4.20,Risk=0.000 NORMAL.,"12 defects, high-confidence crack.","['[collect] SITE0016', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=4.20', '[decision] HIGH']",2026-07-30T17:28:20.014378Z
WO-SITE0017-202607301728,SITE0017,Jawa Timur - Samarinda,Indoor BTS Room,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,6.9168313237552855e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-22-_jpeg.rf.7eee751634b146655f68c2677bdf77f0.jpg,Low,12.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:12.0(+0.7) Failures:0(+0.0) Score:0.70,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0017', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.70', '[decision] LOW']",2026-07-30T17:28:20.020619Z
WO-SITE0018-202607301728,SITE0018,Bali-Nusra - Sabang,BTS Tower,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.321354507299201e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-2-_jpeg.rf.ce2388ae2207f0d498e2e8e5290d490a.jpg,Low,6.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:6.0(+0.1) Failures:0(+0.0) Score:0.10,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0018', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.10', '[decision] LOW']",2026-07-30T17:28:20.027131Z
WO-SITE0019-202607301728,SITE0019,Jawa Tengah - Bima,Microcell Pole,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.9461687275637e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-62-_jpeg.rf.3fb47b88414544da64b1b72d8b5cdfd9.jpg,Low,8.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:8.0(+0.3) Failures:0(+0.0) Score:0.30,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0019', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.30', '[decision] LOW']",2026-07-30T17:28:20.032914Z
WO-SITE0020-202607301728,SITE0020,Kalimantan Timur - Medan,Outdoor Cabinet,Jawa Tengah,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.0467946294312464e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-21-_jpeg.rf.3ab17e169ab9b8cf8b0503752d79d2f7.jpg,Medium,2.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:2.0(+0.0) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0020', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.039106Z
WO-SITE0021-202607301728,SITE0021,Jawa Timur - Purwokerto,BTS Tower,Bali-Nusra,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.5129259875367496e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-11-_jpeg.rf.9bc91483e19ae99f4e6c7fb54fe0fda4.jpg,Low,9.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:9.0(+0.4) Failures:0(+0.0) Score:0.40,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0021', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.40', '[decision] LOW']",2026-07-30T17:28:20.044779Z
WO-SITE0022-202607301728,SITE0022,Jabodetabek - Salatiga,Outdoor Cabinet,Kalimantan Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.0417092345951446e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-12-_jpeg.rf.e0a1fc1faa4ee4816c9a0b79e2b8a82a.jpg,Low,8.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:8.0(+0.3) Failures:0(+0.0) Score:0.30,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0022', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.30', '[decision] LOW']",2026-07-30T17:28:20.051845Z
WO-SITE0023-202607301728,SITE0023,Sulawesi Selatan - Solok,Outdoor Cabinet,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,6.887328291157463e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-18-_jpeg.rf.bec8fef768832c05c5d93a422733e544.jpg,Low,3.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:3.0(+0.0) Failures:0(+0.0) Score:0.00,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0023', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.00', '[decision] LOW']",2026-07-30T17:28:20.059759Z
WO-SITE0024-202607301728,SITE0024,Kalimantan Timur - Payakumbuh,Microcell Pole,Kalimantan Timur,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,8.845504514373276e-06,NORMAL,CRITICAL,4,pipe-defects-ybzjr_featured-image-burst-pipe-jpeg_jpg.rf.790094dc13e231a1a5c338f9a1f653c4.jpg,Low,6.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:6.0(+0.1) Failures:0(+0.0) Score:3.10,Risk=0.000 NORMAL.,"4 defects, high-confidence crack.","['[collect] SITE0024', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.10', '[decision] HIGH']",2026-07-30T17:28:20.068249Z
WO-SITE0025-202607301728,SITE0025,Jawa Timur - Lubuklinggau,BTS Tower,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.3089734352998324e-05,NORMAL,MEDIUM,10,corrosion-and-cracks-kuvur_corrosion-53-_jpeg.rf.d41f222452dcc0450de68e49529f2e00.jpg,High,12.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:12.0(+0.7) Failures:0(+0.0) Score:1.20,Risk=0.000 NORMAL.,10 corrosion regions.,"['[collect] SITE0025', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=1.20', '[decision] LOW']",2026-07-30T17:28:20.077170Z
WO-SITE0026-202607301728,SITE0026,Jabodetabek - Sawahlunto,BTS Tower,Jabodetabek,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.4195067389571652e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.dccd9d4ade5a2e44a165fe17404f37ef.jpg,Low,7.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:7.0(+0.2) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0026', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.082914Z
WO-SITE0027-202607301728,SITE0027,Sulawesi Selatan - Mataram,BTS Tower,Jawa Barat,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,7.629406183073376e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.19ff49a938369c223d6f990ea3c955fc.jpg,Low,11.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:11.0(+0.6) Failures:0(+0.0) Score:0.60,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0027', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.60', '[decision] LOW']",2026-07-30T17:28:20.089241Z
WO-SITE0028-202607301728,SITE0028,Sumatera Utara - Kota Administrasi Jakarta Barat,Indoor BTS Room,Sulawesi Selatan,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,9.647069806711722e-06,NORMAL,CRITICAL,12,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.d65330b681e22388b70a1ba38d5270b9.jpg,High,10.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:High(+0.5) Age:10.0(+0.5) Failures:0(+0.0) Score:4.00,Risk=0.000 NORMAL.,"12 defects, high-confidence crack.","['[collect] SITE0028', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=4.00', '[decision] HIGH']",2026-07-30T17:28:20.094889Z
WO-SITE0029-202607301728,SITE0029,Bali-Nusra - Tanjungpinang,Microcell Pole,Bali-Nusra,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.892529507358322e-05,NORMAL,CRITICAL,9,corrosion_detection-unzub_Adjacent-picture-shows-a-classic-example-of-galvanic-corrosion--a-stainless-steel-screw-in-contact-with-a-cadmium-plated-steel-washer-_jpg.rf.6bad5d4e36c706e890f2232621e704f3.jpg,Medium,5.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:5.0(+0.0) Failures:0(+0.0) Score:3.20,Risk=0.000 NORMAL.,"9 defects, high-confidence crack.","['[collect] SITE0029', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.20', '[decision] HIGH']",2026-07-30T17:28:20.100513Z
WO-SITE0030-202607301728,SITE0030,Sulawesi Selatan - Bau-Bau,Indoor BTS Room,Bali-Nusra,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,3.617042166126072e-05,NORMAL,CRITICAL,8,corrosion_detection-unzub_Bolts-in-non-salt-water-environments-and-not-in-constant-contact-with-water--such-as-this-one--are-more-than-likely-just-rusty-and-safe-for-climbing-_jpg.rf.2302c4f0d4e3e6b3a6b12b6fa3ada02d.jpg,Low,11.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:11.0(+0.6) Failures:0(+0.0) Score:3.60,Risk=0.000 NORMAL.,"8 defects, high-confidence crack.","['[collect] SITE0030', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.60', '[decision] HIGH']",2026-07-30T17:28:20.106223Z
WO-SITE0031-202607301728,SITE0031,Jawa Timur - Pontianak,Indoor BTS Room,Jawa Tengah,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.1796745906237704e-05,NORMAL,CRITICAL,7,pipe-defects-ybzjr_fig-6-pinhole-leaks-in-copper-tubing_jpg.rf.ac0e1e11dc0bfd03fae9219b99de513b.jpg,High,12.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:High(+0.5) Age:12.0(+0.7) Failures:1(+0.5) Score:4.70,Risk=0.000 NORMAL.,"7 defects, high-confidence crack.","['[collect] SITE0031', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=4.70', '[decision] HIGH']",2026-07-30T17:28:20.112317Z
WO-SITE0032-202607301728,SITE0032,Sumatera Utara - Makassar,BTS Tower,Sumatera Utara,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.118020314518186e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-50-_jpeg.rf.fee0deda5d090eef52b18b4d28616abe.jpg,Medium,4.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Medium(+0.2) Age:4.0(+0.0) Failures:0(+0.0) Score:0.20,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0032', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.20', '[decision] LOW']",2026-07-30T17:28:20.119129Z
WO-SITE0033-202607301728,SITE0033,Jawa Timur - Kotamobagu,Indoor BTS Room,Jawa Timur,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,6.7929932825020246e-06,NORMAL,CRITICAL,3,pipe-defects-ybzjr_istockphoto-481604650-612x612_jpg.rf.1a8ae511e90cbebe20d2ded1da24143b.jpg,Medium,7.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Medium(+0.2) Age:7.0(+0.2) Failures:0(+0.0) Score:3.40,Risk=0.000 NORMAL.,"3 defects, high-confidence crack.","['[collect] SITE0033', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.40', '[decision] HIGH']",2026-07-30T17:28:20.124963Z
WO-SITE0034-202607301728,SITE0034,Kalimantan Timur - Bitung,Outdoor Cabinet,Jawa Timur,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,2.596716899275277e-05,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-12-_jpeg.rf.3f1e007b1db89b59a58709a0d9d79737.jpg,Low,9.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:9.0(+0.4) Failures:0(+0.0) Score:0.40,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0034', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.40', '[decision] LOW']",2026-07-30T17:28:20.131265Z
WO-SITE0035-202607301728,SITE0035,Jabodetabek - Cimahi,Indoor BTS Room,Bali-Nusra,HIGH,PRIORITY_STRUCTURAL_REPAIR: Crack repair within 48h,3500,18,1.217258119088475e-05,NORMAL,CRITICAL,2,pipe-defects-ybzjr_featured-image-burst-pipe-jpeg_jpg.rf.1e9803389c43cb187eb5b7a7270f3a9a.jpg,Low,12.0,Numeric:NORMAL(0) Vision:CRITICAL(3) Coastal:Low(+0.0) Age:12.0(+0.7) Failures:0(+0.0) Score:3.70,Risk=0.000 NORMAL.,"2 defects, high-confidence crack.","['[collect] SITE0035', '[numeric] NORMAL', '[vision] CRITICAL', '[merge] score=3.70', '[decision] HIGH']",2026-07-30T17:28:20.137087Z
WO-SITE0036-202607301728,SITE0036,Bali-Nusra - Bukittinggi,Indoor BTS Room,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.0384129710255328e-05,NORMAL,MEDIUM,10,corrosion_detection-unzub_Galvanic-Corrosion-Corrosion-with-an-Electric-Edge_jpg.rf.52ba92b062b9aca543caa31e952a7d65.jpg,High,7.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:7.0(+0.2) Failures:0(+0.0) Score:0.70,Risk=0.000 NORMAL.,10 corrosion regions.,"['[collect] SITE0036', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.70', '[decision] LOW']",2026-07-30T17:28:20.142868Z
WO-SITE0037-202607301728,SITE0037,Bali-Nusra - Padangpanjang,Outdoor Cabinet,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,4.642784061636562e-06,NORMAL,CLEAN,0,corrosion-and-cracks-kuvur_corrosion-2-_jpeg.rf.ce2388ae2207f0d498e2e8e5290d490a.jpg,Low,9.0,Numeric:NORMAL(0) Vision:CLEAN(0) Coastal:Low(+0.0) Age:9.0(+0.4) Failures:0(+0.0) Score:0.40,Risk=0.000 NORMAL.,No defects. PASS.,"['[collect] SITE0037', '[numeric] NORMAL', '[vision] CLEAN', '[merge] score=0.40', '[decision] LOW']",2026-07-30T17:28:20.149121Z
WO-SITE0038-202607301728,SITE0038,Jabodetabek - Surakarta,Microcell Pole,Sulawesi Selatan,LOW,ROUTINE_MONITORING: Continue regular schedule,0,0,1.1092908043033137e-05,NORMAL,MEDIUM,1,pipe-defects-ybzjr_istockphoto-1325877872-612x612_jpg.rf.05faa1d77d40b5279b5e96dbd2cfa312.jpg,High,3.0,Numeric:NORMAL(0) Vision:MEDIUM(0) Coastal:High(+0.5) Age:3.0(+0.0) Failures:0(+0.0) Score:0.50,Risk=0.000 NORMAL.,1 corrosion regions.,"['[collect] SITE0038', '[numeric] NORMAL', '[vision] MEDIUM', '[merge] score=0.50', '[decision] LOW']",2026-07-30T17:28:20.154936Z
